passer,receiver,x,y,end_x,end_y,pass_outcome,pass_length,pass_angle,minute,second,team,match_id,match_date,opponent
David Junior Hoilett,Tajon Buchanan,22.7,70.7,45.4,75.0,Incomplete,23.10368,0.18720916,39,4,Canada,3857276,2022-12-01,Canada
Romain Saïss,Abdelhamid Sabiri,74.7,5.1,82.5,8.9,,8.676405,0.45333868,39,5,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Azzedine Ounahi,80.2,21.5,80.4,35.0,,13.501481,1.5559826,39,7,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofyan Amrabat,75.4,13.6,71.1,5.9,,8.819297,-2.0800974,39,13,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Romain Saïss,70.5,5.9,49.1,4.7,,21.433619,-3.0855765,39,13,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Azzedine Ounahi,49.4,5.2,63.6,20.8,,21.095022,0.8323435,39,16,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofiane Boufal,65.0,25.5,91.7,76.6,Pass Offside,57.65501,1.0893073,39,20,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Sam Adekugbe,28.3,9.9,40.7,11.6,,12.515989,0.1362474,39,34,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Kamal Miller,40.7,11.6,25.8,10.4,,14.948244,-3.0612292,39,35,Canada,3857276,2022-12-01,Canada
Kamal Miller,Tajon Buchanan,28.1,10.6,52.3,1.0,,26.034592,-0.37765333,39,38,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Sam Adekugbe,82.8,6.6,96.9,2.3,,14.741099,-0.29600516,39,44,Canada,3857276,2022-12-01,Canada
Youssef En-Nesyri,Hakim Ziyech,61.0,40.1,33.6,78.7,,47.336243,2.188099,40,33,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Nayef Aguerd,31.7,78.5,21.0,67.3,Incomplete,15.489674,-2.3333673,40,37,Morocco,3857276,2022-12-01,Morocco
Alphonso Davies,Sam Adekugbe,75.2,0.1,65.2,18.5,,20.941824,2.0686188,41,58,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Alistair Johnston,67.8,22.9,67.8,40.0,,17.1,1.5707964,42,2,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Jonathan Osorio,72.4,48.9,76.8,71.9,,23.417088,1.3817757,42,5,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Tajon Buchanan,77.1,72.3,83.3,76.2,,7.324616,0.56149364,42,7,Canada,3857276,2022-12-01,Canada
Romain Saïss,Youssef En-Nesyri,25.3,8.5,88.7,12.5,Incomplete,63.52606,0.063007966,42,46,Morocco,3857276,2022-12-01,Morocco
Steven de Sousa Vitoria,Alphonso Davies,43.8,71.2,52.3,56.5,,16.980577,-1.046537,43,38,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Steven de Sousa Vitoria,52.3,56.1,44.9,70.0,,15.747064,2.0600066,43,39,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,44.9,70.0,36.6,42.8,,28.438179,-1.8669685,43,40,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,34.5,38.5,36.7,14.0,,24.598577,-1.4812406,43,43,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,34.0,13.9,31.5,57.0,,43.172443,1.628736,43,46,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alphonso Davies,33.1,58.0,46.6,49.2,,16.1149,-0.57767594,43,48,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Sam Adekugbe,69.6,29.7,69.6,27.5,Incomplete,2.2,-1.5707964,43,55,Canada,3857276,2022-12-01,Canada
Youssef En-Nesyri,Abdelhamid Sabiri,57.2,42.9,45.8,40.6,,11.6297035,-2.9425108,43,56,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,47.0,41.5,43.5,46.3,,5.940539,2.2008302,43,58,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Noussair Mazraoui,57.0,29.3,87.2,21.5,Incomplete,31.191025,-0.25275457,44,2,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,David Junior Hoilett,32.9,58.6,42.8,72.6,,17.146719,0.9552926,44,4,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Jonathan Osorio,41.4,76.1,43.5,62.4,,13.860014,-1.4186956,44,8,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Mark Anthony Kaye,44.0,61.9,39.9,52.3,,10.438869,-1.9744302,44,10,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Milan Borjan,40.4,52.5,16.8,41.8,,25.912352,-2.7159233,44,11,Canada,3857276,2022-12-01,Canada
Milan Borjan,Sam Adekugbe,22.2,42.6,67.2,6.2,,57.878838,-0.6801375,44,16,Canada,3857276,2022-12-01,Canada
Nayef Aguerd,Yassine Bounou,22.5,65.4,2.6,38.5,,33.460724,-2.2077224,44,23,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Sofiane Boufal,2.2,28.8,46.5,22.2,Incomplete,44.788948,-0.14789635,44,27,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,David Junior Hoilett,87.8,63.2,108.3,79.3,Out,26.066454,0.6657538,44,32,Canada,3857276,2022-12-01,Canada
Noussair Mazraoui,Youssef En-Nesyri,17.5,0.1,39.2,3.9,,22.030207,0.17335744,44,53,Morocco,3857276,2022-12-01,Morocco
Mark Anthony Kaye,Kamal Miller,69.0,54.9,69.3,53.5,,1.4317821,-1.359703,44,57,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,55.5,57.5,54.1,65.8,,8.417244,1.7378981,44,59,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Milan Borjan,54.2,65.8,21.1,48.2,,37.488266,-2.6528907,45,0,Canada,3857276,2022-12-01,Canada
Milan Borjan,Steven de Sousa Vitoria,22.2,48.7,36.4,63.9,,20.800962,0.81939864,45,4,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Milan Borjan,35.5,63.8,15.9,47.8,,25.301384,-2.4569755,45,6,Canada,3857276,2022-12-01,Canada
Milan Borjan,Sam Adekugbe,16.5,47.7,63.2,21.7,,53.449883,-0.5080071,45,10,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Kamal Miller,59.6,21.7,29.3,5.0,,34.597397,-2.637863,45,14,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,31.4,5.7,34.7,18.2,,12.928264,1.3126853,45,20,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,38.5,29.3,46.8,51.1,,23.326593,1.2070081,45,23,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Tajon Buchanan,53.2,52.5,97.4,6.1,Incomplete,64.082756,-0.80967593,45,26,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Hakim Ziyech,22.7,74.0,32.6,74.0,Incomplete,9.9,0.0,45,29,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,18.2,68.8,31.0,57.4,,17.140594,-0.7276113,45,32,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Azzedine Ounahi,32.1,57.4,43.0,67.4,,14.792228,0.74236256,45,34,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Hakim Ziyech,45.6,74.7,47.1,78.0,,3.6249137,1.1441689,45,37,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Youssef En-Nesyri,54.4,80.0,69.8,74.0,,16.527554,-0.37151787,46,0,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Noussair Mazraoui,67.4,73.0,60.1,21.0,,52.509903,-1.7102695,46,2,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Sofiane Boufal,80.7,10.4,83.0,14.5,,4.7010636,1.0595657,46,9,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Abdelhamid Sabiri,81.3,15.6,73.6,25.8,,12.780063,2.2174273,46,10,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,72.8,21.6,58.0,23.9,,14.97765,2.9874206,46,12,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,56.7,26.0,58.4,67.6,,41.63472,1.5299537,46,14,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,61.9,67.8,75.7,78.9,,17.710167,0.67738646,46,18,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,74.7,78.0,69.2,67.3,,12.030794,-2.045596,46,21,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,71.9,64.7,86.0,76.6,Incomplete,18.450474,0.7009839,46,23,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Nayef Aguerd,80.9,75.7,110.6,46.3,Incomplete,41.79055,-0.7803221,47,15,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Kamal Miller,10.1,32.6,21.1,20.6,,16.27882,-0.8288491,48,6,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,31.5,9.5,37.8,14.7,,8.168843,0.6900361,48,11,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,43.5,22.2,28.4,39.0,,22.588715,2.3029532,48,15,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,43.8,48.3,43.8,57.2,,8.9,1.5707964,48,21,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Alphonso Davies,50.8,59.8,74.7,55.6,,24.266232,-0.17395604,48,24,Canada,3857276,2022-12-01,Canada
Abdelhamid Sabiri,Sofyan Amrabat,50.3,21.1,50.7,23.9,,2.828427,1.4288993,48,26,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Abdelhamid Sabiri,67.1,23.1,65.0,27.3,Incomplete,4.6957426,2.0344439,48,29,Morocco,3857276,2022-12-01,Morocco
Alphonso Davies,Kamal Miller,54.8,22.0,39.2,28.9,,17.057842,2.725154,48,36,Canada,3857276,2022-12-01,Canada
Kamal Miller,Alphonso Davies,45.9,23.9,54.2,25.8,,8.514693,0.22503829,48,40,Canada,3857276,2022-12-01,Canada
Alphonso Davies,David Junior Hoilett,58.1,28.2,117.1,79.4,Out,78.11812,0.7147356,48,43,Canada,3857276,2022-12-01,Canada
Noussair Mazraoui,Abdelhamid Sabiri,5.2,0.1,18.4,2.9,Incomplete,13.493702,0.20902294,49,9,Morocco,3857276,2022-12-01,Morocco
Mark Anthony Kaye,Cyle Larin,101.7,77.2,101.7,65.4,,11.8,-1.5707964,49,11,Canada,3857276,2022-12-01,Canada
Cyle Larin,Jonathan Osorio,101.7,65.4,99.5,57.3,Incomplete,8.39345,-1.8360034,49,12,Canada,3857276,2022-12-01,Canada
Noussair Mazraoui,Achraf Hakimi Mouh,37.8,18.8,46.3,77.5,,59.312225,1.4269918,49,42,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,47.1,77.5,33.1,65.0,,18.768324,-2.4127378,49,46,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Sofiane Boufal,33.8,65.0,76.3,11.3,,68.48314,-0.9013005,49,49,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Milan Borjan,17.0,80.0,6.4,52.3,,29.658894,-1.9362756,50,1,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Jonathan Osorio,61.0,40.1,48.2,46.2,,14.17921,2.6968703,45,0,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,46.0,42.7,40.3,25.6,,18.024982,-1.8925469,45,2,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Mark Anthony Kaye,67.8,57.7,66.4,65.8,,8.220098,1.7419449,45,14,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,63.8,59.8,57.2,26.9,,33.555477,-1.7687763,45,16,Canada,3857276,2022-12-01,Canada
Yassine Bounou,Nayef Aguerd,10.3,40.8,14.2,62.4,,21.949259,1.3921653,45,32,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,21.5,65.8,28.1,76.3,,12.402016,1.009633,45,36,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Romain Saïss,43.7,73.9,28.1,16.6,,59.385605,-1.8366053,45,57,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Youssef En-Nesyri,53.7,12.1,76.9,25.8,,26.943089,0.5334177,46,6,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Sofiane Boufal,75.6,25.8,70.6,23.9,,5.3488317,-2.7784457,46,7,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Azzedine Ounahi,70.6,23.9,88.6,37.6,,22.620565,0.6505744,46,8,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Kamal Miller,20.8,41.0,24.6,26.0,,15.473849,-1.3226829,46,24,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,26.1,23.9,38.5,31.0,,14.288807,0.52001417,46,26,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Tajon Buchanan,38.3,33.5,53.5,17.5,,22.068983,-0.81103355,46,28,Canada,3857276,2022-12-01,Canada
Azzedine Ounahi,Nayef Aguerd,34.1,76.9,25.7,73.5,,9.062009,-2.756988,46,34,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Sofyan Amrabat,23.4,68.6,31.5,60.7,,11.314592,-0.7728988,46,37,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Romain Saïss,41.8,48.9,30.6,20.0,,30.994354,-1.9405183,46,42,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Nayef Aguerd,31.7,18.5,31.1,48.9,,30.40592,1.5905306,46,46,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Azzedine Ounahi,31.5,51.1,42.8,72.7,,24.377243,1.0888021,46,49,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Hakim Ziyech,46.7,75.0,61.9,76.1,,15.239751,0.07224248,46,52,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Youssef En-Nesyri,61.9,76.1,98.7,56.8,,41.55394,-0.48302087,46,54,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Hakim Ziyech,105.3,76.3,92.9,70.5,,13.689412,-2.704083,47,1,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,David Junior Hoilett,3.3,45.1,18.4,59.8,,21.07368,0.7719762,47,7,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Alphonso Davies,50.5,73.7,72.8,78.0,,22.71079,0.1904872,47,15,Canada,3857276,2022-12-01,Canada
Romain Saïss,Sofiane Boufal,55.9,3.4,62.3,1.2,,6.7675695,-0.33109608,47,22,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Abdelhamid Sabiri,63.2,1.9,51.2,2.1,,12.001667,3.1249275,47,23,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Noussair Mazraoui,51.2,2.3,50.1,7.8,,5.6089215,1.7681919,47,25,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Abdelhamid Sabiri,50.1,7.8,46.3,3.8,,5.517246,-2.330559,47,25,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,46.7,10.6,39.2,18.1,,10.606602,2.3561945,47,27,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Abdelhamid Sabiri,39.2,18.1,45.2,20.3,,6.3906183,0.35144478,47,28,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,45.2,20.5,40.3,20.5,,4.9,3.1415927,47,29,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Romain Saïss,39.4,20.7,44.1,13.8,,8.348653,-0.97282726,47,30,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Sofyan Amrabat,44.1,13.8,43.3,19.0,,5.2611785,1.7234457,47,31,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Noussair Mazraoui,43.3,19.0,56.5,3.8,,20.131567,-0.8557046,47,32,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Sofiane Boufal,56.1,4.2,63.4,3.6,,7.324616,-0.082007445,47,34,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Sofyan Amrabat,63.6,3.4,50.8,17.5,,19.043371,2.307905,47,35,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Abdelhamid Sabiri,50.1,17.5,54.2,21.5,,5.7280016,0.7730531,47,37,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,54.2,21.5,49.0,17.3,,6.68431,-2.462179,47,37,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Abdelhamid Sabiri,49.3,16.4,53.7,21.8,,6.96563,0.887087,47,39,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Achraf Hakimi Mouh,51.8,25.6,49.0,72.0,,46.484406,1.6310681,47,41,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,48.2,60.5,43.3,40.8,,20.300247,-1.8145802,47,46,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Noussair Mazraoui,46.9,38.6,52.5,6.8,,32.289318,-1.396483,47,49,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Romain Saïss,52.3,6.1,33.2,4.6,,19.15881,-3.0632195,47,51,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Sofyan Amrabat,32.8,6.8,37.9,24.1,,18.036076,1.2841191,47,55,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Yassine Bounou,37.9,24.1,9.3,25.4,,28.62953,3.0961695,47,56,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Nayef Aguerd,10.8,33.5,14.8,55.1,,21.967249,1.3876855,48,0,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,20.0,58.8,27.9,75.7,,18.655294,1.1335216,48,2,Morocco,3857276,2022-12-01,Morocco
Sam Adekugbe,Kamal Miller,58.7,0.1,26.4,7.4,,33.11465,2.9193208,48,20,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,27.4,11.1,39.0,5.3,,12.969194,-0.4636476,48,27,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Cyle Larin,41.5,5.1,70.4,14.1,,30.26896,0.30189946,48,30,Canada,3857276,2022-12-01,Canada
Cyle Larin,Tajon Buchanan,70.4,16.9,79.8,11.3,Incomplete,10.941664,-0.53728473,48,32,Canada,3857276,2022-12-01,Canada
Nayef Aguerd,Achraf Hakimi Mouh,36.9,69.2,47.1,73.7,,11.148542,0.4154921,48,34,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,46.3,73.1,50.5,62.2,,11.681182,-1.2030078,48,36,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Hakim Ziyech,88.2,44.4,99.3,69.7,,27.627884,1.1573496,48,45,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,104.7,63.0,95.5,52.3,,14.111343,-2.2809598,48,48,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,95.0,51.9,104.0,49.6,,9.289241,-0.25020054,48,49,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Achraf Hakimi Mouh,103.8,50.4,107.9,52.6,Incomplete,4.652956,0.49248576,48,50,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Sam Adekugbe,13.5,26.3,15.0,20.7,,5.7974133,-1.3090829,48,52,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Tajon Buchanan,15.0,20.7,19.5,31.4,,11.607756,1.1726918,48,54,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Sam Adekugbe,41.3,24.6,59.1,9.4,,23.406837,-0.7067727,48,58,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Alphonso Davies,79.0,10.0,96.5,10.2,Incomplete,17.501143,0.011428074,49,2,Canada,3857276,2022-12-01,Canada
Sofyan Amrabat,Romain Saïss,23.6,69.9,13.5,51.9,,20.640009,-2.0821302,49,4,Morocco,3857276,2022-12-01,Morocco
Sam Adekugbe,Kamal Miller,99.7,0.1,67.2,13.2,,35.040833,2.7584367,49,17,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,68.5,14.3,76.4,5.3,,11.975391,-0.85039526,49,23,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Tajon Buchanan,74.9,7.0,90.1,16.0,,17.664654,0.5345943,49,26,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Alphonso Davies,94.4,15.4,96.1,5.1,,10.439348,-1.4072225,49,28,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Tajon Buchanan,101.0,5.3,102.3,11.1,Incomplete,5.9439044,1.3503026,49,32,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,83.2,0.1,63.4,13.2,,23.741314,2.5570948,49,40,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,66.1,13.2,73.6,10.9,,7.8447433,-0.29756173,49,43,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,73.4,10.4,79.2,16.0,,8.062258,0.7678561,49,45,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,79.2,16.0,59.3,18.3,,20.032475,3.0265253,49,46,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,64.6,23.5,77.5,38.5,,19.784084,0.8605253,49,51,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,77.5,38.5,58.4,47.0,,20.90598,2.7228827,49,52,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,65.7,53.9,68.5,67.5,,13.885244,1.3677511,49,55,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,69.1,70.3,65.5,54.9,,15.815183,-1.8004388,49,59,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,64.9,53.0,58.2,28.2,,25.689102,-1.8346585,50,1,Canada,3857276,2022-12-01,Canada
Kamal Miller,Alphonso Davies,61.9,28.4,82.2,31.0,,20.465826,0.12738529,50,4,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Sam Adekugbe,71.5,25.4,68.9,13.0,,12.669649,-1.7774795,50,10,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,69.6,11.7,83.0,32.0,,24.323856,0.9873547,50,12,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,80.3,35.2,80.0,49.4,,14.203169,1.5919199,50,14,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,80.0,49.4,62.5,46.6,,17.722584,-2.9829373,50,16,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,67.4,45.7,88.2,44.0,,20.869356,-0.08154951,50,19,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alphonso Davies,88.2,44.0,96.7,38.5,Incomplete,10.1242285,-0.5743048,50,21,Canada,3857276,2022-12-01,Canada
Nayef Aguerd,Azzedine Ounahi,24.2,40.1,34.3,44.0,,10.826818,0.36850008,50,22,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Youssef En-Nesyri,34.3,44.0,40.3,36.7,,9.449339,-0.882833,50,24,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Hakim Ziyech,40.3,36.7,48.0,71.8,,35.93466,1.354844,50,25,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Sofiane Boufal,45.0,64.3,85.0,12.8,Incomplete,65.20928,-0.91042566,50,28,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Jonathan Osorio,33.8,70.5,39.6,63.7,,8.937561,-0.86459726,50,42,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,39.2,50.0,39.4,27.3,,22.700882,-1.561986,50,45,Canada,3857276,2022-12-01,Canada
Kamal Miller,Tajon Buchanan,39.4,24.1,51.8,24.8,,12.419743,0.05639176,50,48,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Kamal Miller,50.7,24.1,40.3,21.3,,10.770329,-2.878598,50,49,Canada,3857276,2022-12-01,Canada
Kamal Miller,Jonathan Osorio,42.8,23.1,50.9,54.3,,32.2343,1.3167886,50,53,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,David Junior Hoilett,50.9,60.7,69.6,79.1,,26.23452,0.7773121,50,57,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Jonathan Osorio,74.9,67.5,67.0,62.4,,9.403191,-2.5683382,51,2,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,67.4,60.3,61.0,26.7,,34.204094,-1.7590178,51,4,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,69.6,28.2,81.3,34.4,,13.241223,0.48729184,51,9,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Sam Adekugbe,86.7,30.8,94.6,4.7,,27.269396,-1.2768809,51,12,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Tajon Buchanan,94.2,4.0,85.0,8.7,,10.331021,2.6692872,51,16,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Alistair Johnston,85.0,39.7,80.7,74.8,,35.362408,1.6926961,51,24,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Jonathan Osorio,80.7,62.6,72.6,46.2,,18.291254,-2.029554,51,28,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,72.6,46.2,73.2,28.4,,17.81011,-1.5371013,51,30,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,74.3,26.0,82.6,17.1,,12.169634,-0.82026774,51,32,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,82.6,16.4,74.1,23.5,,11.075197,2.4456983,51,34,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,74.1,23.5,82.2,25.4,,8.319856,0.23040244,51,36,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,82.0,25.2,82.4,7.7,,17.50457,-1.5479431,51,37,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Milan Borjan,70.2,3.6,30.0,39.5,,53.89666,2.4126391,51,40,Canada,3857276,2022-12-01,Canada
Milan Borjan,Steven de Sousa Vitoria,33.0,44.4,39.8,54.5,,12.175796,0.9782379,51,43,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,42.4,56.6,52.9,68.6,,15.945219,0.8519663,51,48,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Cyle Larin,53.5,71.0,73.2,78.2,,20.974508,0.35040033,51,51,Canada,3857276,2022-12-01,Canada
Cyle Larin,Alistair Johnston,74.5,78.7,65.3,73.3,,10.667708,-2.610819,51,54,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Jonathan Osorio,69.8,74.0,74.7,63.3,,11.768602,-1.1413559,51,57,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,David Junior Hoilett,78.5,60.7,84.1,62.2,Incomplete,5.7974133,0.2617135,52,1,Canada,3857276,2022-12-01,Canada
